File: airs-bp
Type: alloc_space
Time: Aug 24, 2023 at 4:43pm (UTC)
Showing nodes accounting for 533.99MB, 82.63% of 646.27MB total
Dropped 378 nodes (cum <= 3.23MB)
         0     0% 82.63%    15.50MB  2.40%  github.com/voedger/voedger/pkg/processors/command.applyPLogEvent
         0     0% 82.63%     8.50MB  1.32%  github.com/voedger/voedger/pkg/processors/command.buildRawEvent
         0     0% 82.63%    32.03MB  4.96%  github.com/voedger/voedger/pkg/processors/command.execCommand
         0     0% 82.63%    24.01MB  3.72%  github.com/voedger/voedger/pkg/processors/command.getArgsObject
         0     0% 82.63%       11MB  1.70%  github.com/voedger/voedger/pkg/processors/command.putWLog
         0     0% 82.63%    79.67MB 12.33%  github.com/voedger/voedger/pkg/processors/command.unmarshalRequestBody
         0     0% 82.63%     3.50MB  0.54%  github.com/voedger/voedger/pkg/processors/query.newQueryProcessorPipeline.func14
         0     0% 82.63%     7.50MB  1.16%  github.com/voedger/voedger/pkg/processors/query.newQueryProcessorPipeline.func3
         0     0% 82.63%    17.01MB  2.63%  github.com/voedger/voedger/pkg/processors/query.operator.func1
         0     0% 82.63%        5MB  0.77%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).Run
         0     0% 82.63%        4MB  0.62%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).keepReading
         0     0% 82.63%    70.51MB 10.91%  github.com/voedger/voedger/pkg/projectors.(*asyncProjector).DoAsync
         0     0% 82.63%    19.50MB  3.02%  github.com/voedger/voedger/pkg/projectors.(*asyncProjector).Flush
         0     0% 82.63%    19.50MB  3.02%  github.com/voedger/voedger/pkg/projectors.(*asyncProjector).flush
         0     0% 82.63%     4.50MB   0.7%  github.com/voedger/voedger/pkg/projectors.(*asyncProjector).savePosition
         0     0% 82.63%    38.01MB  5.88%  github.com/voedger/voedger/pkg/projectors.newSyncBranch.func1
         0     0% 82.63%       27MB  4.18%  github.com/voedger/voedger/pkg/projectors.syncActualizerFactory.func3
         0     0% 82.63%    40.58MB  6.28%  github.com/voedger/voedger/pkg/router.corsHandler.func1
         0     0% 82.63%    33.58MB  5.20%  github.com/voedger/voedger/pkg/router.createRequest
         0     0% 82.63%    38.58MB  5.97%  github.com/voedger/voedger/pkg/router.requestHandler.func1
         0     0% 82.63%        9MB  1.39%  github.com/voedger/voedger/pkg/state.(*bundleImpl).get
         0     0% 82.63%        7MB  1.08%  github.com/voedger/voedger/pkg/state.(*bundleImpl).put
         0     0% 82.63%        7MB  1.08%  github.com/voedger/voedger/pkg/state.(*bundledHostState).ApplyIntents
         0     0% 82.63%       29MB  4.49%  github.com/voedger/voedger/pkg/state.(*bundledHostState).CanExist
         0     0% 82.63%       15MB  2.32%  github.com/voedger/voedger/pkg/state.(*bundledHostState).FlushBundles
         0     0% 82.63%       27MB  4.18%  github.com/voedger/voedger/pkg/state.(*hostState).ApplyIntents
         0     0% 82.63%       27MB  4.18%  github.com/voedger/voedger/pkg/state.(*hostState).CanExist
         0     0% 82.63%    38.51MB  5.96%  github.com/voedger/voedger/pkg/state.(*hostState).KeyBuilder
         0     0% 82.63%        6MB  0.93%  github.com/voedger/voedger/pkg/state.(*hostState).MustExist
         0     0% 82.63%       18MB  2.79%  github.com/voedger/voedger/pkg/state.(*hostState).NewValue
         0     0% 82.63%    24.02MB  3.72%  github.com/voedger/voedger/pkg/state.(*hostState).UpdateValue
         0     0% 82.63%       12MB  1.86%  github.com/voedger/voedger/pkg/state.(*recordsStorage).Get
         0     0% 82.63%    24.02MB  3.72%  github.com/voedger/voedger/pkg/state.(*recordsStorage).ProvideValueBuilderForUpdate
         0     0% 82.63%     6.01MB  0.93%  github.com/voedger/voedger/pkg/state.(*recordsValueBuilder).PutFloat64
         0     0% 82.63%       16MB  2.48%  github.com/voedger/voedger/pkg/state.(*viewRecordsKeyBuilder).Equals
         0     0% 82.63%    40.50MB  6.27%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).ApplyBatch
         0     0% 82.63%       15MB  2.32%  github.com/voedger/voedger/pkg/state.(*viewRecordsStorage).Get
         0     0% 82.63%       10MB  1.55%  github.com/voedger/voedger/pkg/state.(*viewRecordsValueBuilder).Build (inline)
         0     0% 82.63%    13.01MB  2.01%  github.com/voedger/voedger/pkg/sys.Provide
         0     0% 82.63%     4.50MB   0.7%  github.com/voedger/voedger/pkg/sys/builtin.provideRefIntegrityValidator.func2
         0     0% 82.63%       15MB  2.32%  github.com/voedger/voedger/pkg/sys/journal.glob..func1
         0     0% 82.63%     4.01MB  0.62%  github.com/voedger/voedger/pkg/utils.Marshal
         0     0% 82.63%    52.60MB  8.14%  github.com/voedger/voedger/pkg/vvm.ProvideCluster
         0     0% 82.63%    46.59MB  7.21%  github.com/voedger/voedger/pkg/vvm.ProvideVVM
         0     0% 82.63%    43.55MB  6.74%  github.com/voedger/voedger/pkg/vvm.VVMAppsBuilder.Build
         0     0% 82.63%       10MB  1.55%  github.com/voedger/voedger/pkg/vvm.buildSchemasASTs
         0     0% 82.63%     4.50MB   0.7%  github.com/voedger/voedger/pkg/vvm.provideAppsWSAmounts
         0     0% 82.63%     3.54MB  0.55%  github.com/voedger/voedger/pkg/vvm.provideBlobberAppStruct (inline)
         0     0% 82.63%     5.50MB  0.85%  github.com/voedger/voedger/pkg/vvm.provideSubjectGetterFunc.func1
         0     0% 82.63%    42.05MB  6.51%  github.com/voedger/voedger/pkg/vvm.provideVVMApps (inline)
         0     0% 82.63%    56.74MB  8.78%  net/http.(*conn).serve
         0     0% 82.63%    41.74MB  6.46%  net/http.HandlerFunc.ServeHTTP
         0     0% 82.63%        9MB  1.39%  net/http.readRequest
         0     0% 82.63%    46.24MB  7.15%  net/http.serverHandler.ServeHTTP
         0     0% 82.63%     7.50MB  1.16%  net/textproto.(*Reader).ReadMIMEHeader (inline)
         0     0% 82.63%        6MB  0.93%  reflect.Value.SetMapIndex
         0     0% 82.63%    96.02MB 14.86%  sync.(*Pool).Get
